ID,first_year,last_year
ASN00003093,1750,2023
ASN00003096,1999,2013
ASN00004002,1912,1948
ASN00004019,1750,2023
ASN00004020,1901,2013
ASN00004027,1898,1983
ASN00004028,1948,2020
ASN00004032,1750,2024
ASN00004035,1919,2014
ASN00004043,1971,1993
ASN00004074,1966,1992
ASN00004083,1750,2023
ASN00004090,1750,2023
ASN00004106,1750,2024
ASN00005007,1750,2024
ASN00005008,1750,2023
ASN00005016,1887,2012
ASN00005017,1750,2023
ASN00005024,1948,1967
ASN00005026,1951,2019
ASN00005058,1967,1999
ASN00005061,1969,1993
ASN00005069,1972,2005
ASN00005072,1997,2010
ASN00005084,1750,2023
ASN00005094,1750,2023
ASN00006011,1750,2024
ASN00006022,1940,2011
ASN00006025,1897,1980
ASN00006044,1988,2023
ASN00006062,1885,1950
ASN00006072,1750,2023
ASN00006099,1750,2023
ASN00006105,1750,2023
ASN00007017,1897,1984
ASN00007045,1750,2024
ASN00007046,1926,1950
ASN00007057,1957,1997
ASN00007062,1915,1981
ASN00007064,1905,1986
ASN00007080,1967,2004
ASN00007091,1897,1975
ASN00007139,1750,2023
ASN00007151,1965,1998
ASN00007176,1750,2024
ASN00007178,1980,1997
ASN00007185,1750,2023
ASN00007600,1750,2023
ASN00008025,1940,2015
ASN00008028,1912,1972
ASN00008039,1955,2024
ASN00008050,1880,1953
ASN00008051,1941,2024
ASN00008091,1965,2003
ASN00008093,1925,2005
ASN00008095,1750,2023
ASN00008137,1750,2023
ASN00008138,1949,2006
ASN00008151,1901,1965
ASN00008225,1972,2006
ASN00008251,1750,2023
ASN00008267,1974,1989
ASN00008290,1750,2023
ASN00008296,1750,2024
ASN00008297,1750,2024
ASN00009017,1880,1978
ASN00009021,1750,2024
ASN00009034,1897,1992
ASN00009035,1940,1972
ASN00009037,1750,2023
ASN00009038,1880,1995
ASN00009053,1750,2023
ASN00009058,1908,1993
ASN00009064,1955,2012
ASN00009106,1991,2020
ASN00009111,1750,2023
ASN00009114,1965,2021
ASN00009131,1750,2023
ASN00009172,1750,2023
ASN00009178,1750,2023
ASN00009193,1750,2024
ASN00009194,1983,2017
ASN00009215,1750,2023
ASN00009225,1750,2023
ASN00009240,1750,2023
ASN00009256,1750,2023
ASN00009500,1750,2023
ASN00009510,1901,2012
ASN00009514,1880,1985
ASN00009515,1900,1975
ASN00009518,1750,2024
ASN00009519,1750,2023
ASN00009534,1902,2021
ASN00009538,1750,2023
ASN00009541,1883,1969
ASN00009542,1750,2023
ASN00009569,1900,2011
ASN00009572,1900,1985
ASN00009573,1750,2023
ASN00009581,1905,2005
ASN00009592,1941,2015
ASN00009603,1750,2023
ASN00009617,1750,2024
ASN00009628,1901,1975
ASN00009631,1951,1987
ASN00009637,1951,1983
ASN00009642,1951,2000
ASN00009741,1961,2024
ASN00009746,1999,2021
ASN00009754,1966,1995
ASN00009787,1926,1973
ASN00009789,1750,2024
ASN00009812,2000,2014
ASN00009842,1750,2023
ASN00009871,1750,2023
ASN00009887,1988,2001
ASN00009961,1750,2023
ASN00009964,1750,2023
ASN00009965,1750,2023
ASN00009968,1750,2023
ASN00009977,1750,2023
ASN00009994,1750,2023
ASN00009998,1750,2023
ASN00010007,1949,2023
ASN00010035,1950,2007
ASN00010058,1967,2005
ASN00010073,1910,2016
ASN00010092,1750,2024
ASN00010093,1912,1985
ASN00010111,1750,2023
ASN00010144,1880,1996
ASN00010152,1931,1979
ASN00010244,1965,1985
ASN00010286,1750,2024
ASN00010311,1750,2023
ASN00010515,1750,2023
ASN00010524,1750,2024
ASN00010536,1948,2020
ASN00010554,1949,1965
ASN00010568,1750,2023
ASN00010579,1894,2012
ASN00010582,1967,1995
ASN00010592,1956,2012
ASN00010612,1965,2022
ASN00010614,1750,2023
ASN00010622,1966,2017
ASN00010626,1750,2023
ASN00010633,1750,2023
ASN00010647,1750,2023
ASN00010648,1901,2003
ASN00010692,1750,2023
ASN00010905,1750,2023
ASN00010911,1750,2023
ASN00010916,1750,2024
ASN00010917,1750,2024
ASN00011003,1750,2024
ASN00011004,1946,2004
ASN00011013,1921,1983
ASN00011017,1901,2021
ASN00011019,1750,2023
ASN00011045,1983,2011
ASN00011052,1750,2024
ASN00011053,1750,2023
ASN00012008,1936,1975
ASN00012009,1750,2023
ASN00012022,1972,2002
ASN00012038,1750,2024
ASN00012039,1897,1953
ASN00012044,1750,2023
ASN00012045,1900,1971
ASN00012046,1957,2014
ASN00012052,1898,1996
ASN00012065,1951,2011
ASN00012071,1750,2023
ASN00012074,1895,2013
ASN00012090,1973,2017
ASN00012219,1968,1997
ASN00012239,1750,2023
ASN00012241,1750,2023
ASN00012242,1970,1993
ASN00012281,1975,2001
ASN00012305,1750,2023
ASN00012314,1750,2023
ASN00012320,1750,2023
ASN00013007,1950,2015
ASN00013011,1750,2023
ASN00013012,1901,2019
ASN00013015,1750,2023
ASN00013017,1750,2024
ASN00013030,1750,2023
ASN00014008,1946,1989
ASN00014011,1968,1990
ASN00014015,1750,2024
ASN00014016,1882,1942
ASN00014040,1941,2024
ASN00014041,1750,2023
ASN00014042,1963,2012
ASN00014090,1965,1997
ASN00014142,1750,2023
ASN00014153,1990,2021
ASN00014198,1750,2023
ASN00014253,1750,2023
ASN00014272,1750,2023
ASN00014274,1750,2023
ASN00014277,1750,2023
ASN00014400,1965,2006
ASN00014401,1750,2023
ASN00014402,1963,2003
ASN00014404,1750,2023
ASN00014405,1750,2023
ASN00014502,1962,1975
ASN00014504,1966,2005
ASN00014506,1938,1989
ASN00014507,1983,2011
ASN00014508,1966,2024
ASN00014512,1975,1985
ASN00014517,1750,2023
ASN00014518,1750,2023
ASN00014612,1965,2012
ASN00014618,1926,1986
ASN00014626,1750,2023
ASN00014627,1750,2023
ASN00014633,1976,1994
ASN00014703,1750,2023
ASN00014704,1750,2023
ASN00014707,1974,2015
ASN00014723,1750,2023
ASN00014825,1750,2024
ASN00014829,1750,2023
ASN00014840,1973,2021
ASN00014847,1996,2012
ASN00014850,1981,2014
ASN00014901,1750,2023
ASN00014902,1937,1984
ASN00014903,1946,2011
ASN00014904,1944,1967
ASN00014905,1938,1971
ASN00014909,1750,2023
ASN00014932,1750,2024
ASN00014938,1980,2015
ASN00014948,1750,2023
ASN00014949,1750,2023
ASN00014954,1750,2023
ASN00015034,1950,1972
ASN00015085,1957,2018
ASN00015087,1910,1970
ASN00015089,1963,1980
ASN00015131,1750,2023
ASN00015135,1750,2024
ASN00015502,1988,2013
ASN00015511,1750,2023
ASN00015525,1945,1988
ASN00015526,1938,1980
ASN00015527,1967,1983
ASN00015528,1965,2018
ASN00015540,1878,1953
ASN00015546,1965,1980
ASN00015548,1969,2024
ASN00015590,1750,2024
ASN00015594,1750,2023
ASN00015602,1750,2023
ASN00015603,1980,2019
ASN00015635,1750,2023
ASN00015643,1750,2023
ASN00015652,1750,2023
ASN00015664,1750,2023
ASN00015666,1750,2023
ASN00016001,1750,2024
ASN00016007,1965,1994
ASN00016013,1938,1982
ASN00016032,1969,2011
ASN00016044,1922,1999
ASN00016056,1938,1979
ASN00016065,1750,2023
ASN00016085,1985,2015
ASN00016090,1750,2023
ASN00016096,1750,2023
ASN00016097,1750,2023
ASN00016098,1750,2024
ASN00017005,1952,1982
ASN00017024,1889,1939
ASN00017031,1939,2014
ASN00017043,1750,2024
ASN00017096,1972,1999
ASN00017099,1977,2023
ASN00017110,1750,2023
ASN00017123,1750,2023
ASN00017126,1750,2024
ASN00018011,1939,2024
ASN00018012,1750,2023
ASN00018014,1750,2023
ASN00018030,1927,1967
ASN00018040,1750,2023
ASN00018044,1750,2024
ASN00018052,1965,2001
ASN00018069,1750,2023
ASN00018070,1892,2002
ASN00018079,1750,2023
ASN00018083,1750,2023
ASN00018103,1955,2001
ASN00018106,1750,2023
ASN00018110,1921,1998
ASN00018115,1750,2023
ASN00018116,1750,2023
ASN00018120,1750,2023
ASN00018139,1967,2004
ASN00018181,1973,1993
ASN00018191,1991,2017
ASN00018192,1750,2024
ASN00018195,1750,2023
ASN00018201,1750,2023
ASN00019017,1750,2023
ASN00019036,1925,1962
ASN00019062,1750,2023
ASN00019066,1962,1997
ASN00020026,1951,1994
ASN00020028,1750,2023
ASN00020062,1750,2023
ASN00021014,1926,1994
ASN00021020,1912,1976
ASN00021043,1922,2012
ASN00021046,1908,2001
ASN00021131,1750,2023
ASN00021133,1750,2024
ASN00022006,1952,2005
ASN00022008,1957,2016
ASN00022015,1944,2005
ASN00022018,1951,2023
ASN00022029,1968,1981
ASN00022030,1969,1980
ASN00022031,1750,2023
ASN00022046,1750,2023
ASN00022049,1750,2023
ASN00022050,1750,2023
ASN00022801,1925,2007
ASN00022802,1939,1973
ASN00022803,1750,2023
ASN00022807,1914,2002
ASN00022814,1954,1984
ASN00022823,1750,2024
ASN00022841,1750,2023
ASN00023000,1750,2023
ASN00023013,1750,2023
ASN00023015,1949,1979
ASN00023020,1909,2006
ASN00023031,1925,2024
ASN00023034,1750,2023
ASN00023037,1955,1988
ASN00023057,1966,1994
ASN00023083,1750,2023
ASN00023090,1977,2020
ASN00023122,1750,2023
ASN00023307,1885,1965
ASN00023321,1952,1999
ASN00023343,1962,2019
ASN00023373,1750,2024
ASN00023703,1900,1995
ASN00023733,1750,2023
ASN00023745,1926,1964
ASN00023747,1861,2001
ASN00023751,1932,2002
ASN00023763,1967,1995
ASN00023785,1964,1985
ASN00023801,1967,1999
ASN00023804,1750,2023
ASN00023842,1750,2023
ASN00023849,1989,2002
ASN00023875,1750,2023
ASN00023878,1750,2023
ASN00023885,1750,2023
ASN00023887,1750,2023
ASN00023894,1750,2023
ASN00024002,1926,1963
ASN00024016,1957,2002
ASN00024023,1965,1985
ASN00024024,1750,2023
ASN00024041,1968,1990
ASN00024048,1750,2023
ASN00024511,1750,2023
ASN00024518,1750,2023
ASN00024521,1750,2023
ASN00024536,1944,1975
ASN00024580,1750,2024
ASN00024584,1750,2023
ASN00025006,2002,2023
ASN00025050,1974,2003
ASN00025507,1750,2023
ASN00025509,1915,2014
ASN00025557,1750,2023
ASN00025562,1750,2023
ASN00026005,1957,2005
ASN00026013,1965,1995
ASN00026016,1962,1986
ASN00026019,1957,1994
ASN00026020,1861,2024
ASN00026021,1750,2023
ASN00026023,1962,2001
ASN00026026,1750,2024
ASN00026045,1966,1983
ASN00026089,1977,2000
ASN00026091,1750,2023
ASN00026095,1750,2023
ASN00026099,1750,2023
ASN00026100,1750,2023
ASN00026105,1750,2024
ASN00027005,1908,1972
ASN00027006,1968,2002
ASN00027015,1913,1987
